epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,766.788,1.35546,0.89977,1.31455,0.85933,0.81247,0.90386,0.48393,1.57576,0.94584,1.46019,0.005743,0.005743,0.005743
45,783.492,1.36257,0.87001,1.33063,0.81628,0.78752,0.87673,0.46029,1.59317,1.08741,1.52635,0.005644,0.005644,0.005644
46,801.687,1.36234,0.87135,1.32895,0.85311,0.84605,0.8898,0.48429,1.63024,0.94337,1.46865,0.005545,0.005545,0.005545
47,818.603,1.35827,0.8618,1.3096,0.89188,0.83323,0.88629,0.43234,1.82386,1.03728,1.56834,0.005446,0.005446,0.005446
48,835.729,1.33847,0.83524,1.3017,0.86099,0.85951,0.90931,0.51316,1.56038,0.90449,1.39068,0.005347,0.005347,0.005347
49,852.75,1.29236,0.8215,1.26648,0.8887,0.7939,0.88993,0.4921,1.6163,0.94159,1.44689,0.005248,0.005248,0.005248
50,869.217,1.33972,0.84909,1.30514,0.90885,0.84059,0.90113,0.50794,1.51584,0.89617,1.39409,0.005149,0.005149,0.005149
51,887.745,1.3356,0.80018,1.29628,0.92414,0.84718,0.93861,0.51935,1.61698,0.82817,1.42267,0.00505,0.00505,0.00505
52,904.607,1.33217,0.80804,1.28968,0.87671,0.82694,0.88531,0.47149,1.65284,1.0608,1.46458,0.004951,0.004951,0.004951
53,921.276,1.33727,0.82307,1.30476,0.89364,0.84054,0.90087,0.47527,1.68006,0.97529,1.47491,0.004852,0.004852,0.004852
54,938.717,1.30069,0.80441,1.26597,0.89624,0.84687,0.91886,0.50802,1.51672,0.87425,1.41456,0.004753,0.004753,0.004753
55,956.029,1.32278,0.80385,1.29048,0.90343,0.85351,0.91249,0.49125,1.64038,0.94684,1.48841,0.004654,0.004654,0.004654
56,973.943,1.34149,0.82787,1.30098,0.88966,0.76648,0.86771,0.41554,1.87383,1.03469,1.56676,0.004555,0.004555,0.004555
57,990.675,1.29302,0.82904,1.28096,0.89942,0.81585,0.89342,0.42653,1.80371,0.93743,1.55103,0.004456,0.004456,0.004456
58,1007.15,1.26003,0.77951,1.26452,0.91292,0.84705,0.91849,0.50478,1.51451,0.85548,1.4128,0.004357,0.004357,0.004357
59,1024.55,1.29299,0.81824,1.25974,0.87499,0.83177,0.9038,0.52478,1.45404,0.88611,1.31557,0.004258,0.004258,0.004258
60,1041.95,1.32062,0.81445,1.2773,0.8856,0.88154,0.92819,0.5163,1.55977,0.82679,1.40817,0.004159,0.004159,0.004159
61,1060.1,1.26946,0.80455,1.25007,0.92223,0.84016,0.90616,0.47736,1.62047,0.89146,1.47185,0.00406,0.00406,0.00406
62,1076.46,1.30362,0.76481,1.27045,0.91213,0.86115,0.92616,0.53686,1.50118,0.83159,1.39775,0.003961,0.003961,0.003961
63,1093.41,1.2759,0.75299,1.25798,0.90617,0.85921,0.92827,0.51614,1.57526,0.82924,1.43296,0.003862,0.003862,0.003862
64,1110.19,1.26139,0.75312,1.25239,0.90902,0.8438,0.93615,0.5085,1.62266,0.8137,1.42903,0.003763,0.003763,0.003763
65,1128.08,1.24215,0.73346,1.22922,0.89844,0.87335,0.92384,0.49334,1.63681,0.84808,1.43669,0.003664,0.003664,0.003664
66,1145.3,1.27579,0.75829,1.24591,0.8971,0.81684,0.91813,0.49299,1.6718,0.87444,1.4386,0.003565,0.003565,0.003565
67,1162.15,1.27325,0.75817,1.24653,0.9159,0.86133,0.91618,0.48199,1.70187,0.85741,1.45744,0.003466,0.003466,0.003466
68,1178.99,1.25866,0.75295,1.23623,0.9051,0.8532,0.92301,0.53021,1.5185,0.82414,1.36097,0.003367,0.003367,0.003367
